Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""11000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">11.000.000 TL</strong>",14 Aralık 2024,160,170m²,3+1,2,20+,20+,4,Second Hand,Central System (Heat Share Meter),,,Occupied By Property Owner,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""3790000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.790.000 TL</strong>",14 Aralık 2024,100,110m²,3+1,1,3,1,6-10 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),100  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""5200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.200.000 TL</strong>",14 Aralık 2024,67,110m²,1+1,1,20 ve üzeri,1,3,,Merkezi Sistem (Isı Payı Ölçer),40.000  TL  (aylık),1.500  TL  (aylık),Boş,Hayır,,,,,,,,Tek Kat,Ankara
"<strong content=""8000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.000.000 TL</strong>",14 Aralık 2024,144,175m²,4+1,2,10-20 arası,10,6-10 arası,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,900  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
"<strong content=""25000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">25.000.000 TL</strong>",14 Aralık 2024,400,660m²,5+2,4,3,,5,İkinci El,Yerden Isıtma,,,Mülk Sahibi,Evet,,,,,,30,25,Tripleks,Ankara
"<strong content=""3990000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.990.000 TL</strong>",14 Aralık 2024,60,68m²,2+1,2,9,Zemin Kat,,Yapım Aşamasında,Merkezi Sistem (Isı Payı Ölçer),,,,Hayır,,,,,,,,Tek Kat,Ankara
"<strong content=""2990000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.990.000 TL</strong>",14 Aralık 2024,43,49m²,1+1,1,9,Zemin Kat,,Yapım Aşamasında,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Hayır,,,,,,,,Tek Kat,Ankara
"<strong content=""4950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.950.000 TL</strong>",16 Aralık 2024,105,,,,,,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""6000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.000.000 TL</strong>",14 Aralık 2024,95,110m²,3+1,2,20 ve üzeri,1,3,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.300.000 TL</strong>",14 Aralık 2024,100,110m²,3+1,1,4,3,16-20 arası,İkinci El,Kombi (Doğalgaz),,250  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2990000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.990.000 TL</strong>",14 Aralık 2024,110,120m²,3+1,1,3,1,11-15 arası,İkinci El,Kombi (Doğalgaz),,100  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.950.000 TL</strong>",14 Aralık 2024,110,120m²,3+1,1,4,4,Between 16-20,Second Hand,Combi Boiler (Natural Gas),,250  TL  (aylık),Occupied By Property Owner,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""3950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.950.000 TL</strong>",14 Aralık 2024,186,196m²,4+1,1,3,3,6-10 arası,İkinci El,Kombi (Doğalgaz),,200  TL  (aylık),Mülk Sahibi,Evet,,,,,,10,13,,Ankara
